Timestamp,X,Y,Z,Joint,ScenarioId
0,0.10497148431372547,0.07252186025641072,0.10236407352941175,WristRight,4
1,0.10879827422969188,0.060590503113553615,0.10437948319327732,WristRight,4
2,0.11114538169575525,0.04972348452919682,0.1062037361021332,WristRight,4
3,0.11224505822021119,0.04002064009911711,0.10789958112475764,WristRight,4
4,0.11232955531135534,0.03158180541909125,0.10952976712992897,WristRight,4
5,0.11163112447748332,0.024506816084896035,0.11115704298642543,WristRight,4
6,0.11038201722689077,0.018895507692308217,0.11284415756302531,WristRight,4
7,0.10881448506787392,0.014847715837104133,0.11465385972850742,WristRight,4
8,0.10683649502262503,0.010438979185520392,0.11724648235294183,WristRight,4
9,0.10633363891402775,0.010007784615384652,0.12001796018099614,WristRight,4
10,0.10598148959276077,0.014394485972850743,0.12264122171945768,WristRight,4
11,0.1059887475113128,0.02158796289592771,0.12459760090497807,WristRight,4
12,0.10539355927601868,0.027362257013574795,0.12746512398190116,WristRight,4
13,0.10480727149321326,0.03474942624434407,0.1303221384615392,WristRight,4
14,0.10304871312217252,0.042313631674208374,0.1325487194570143,WristRight,4
15,0.10222068959276075,0.0504466361990953,0.13445465610859805,WristRight,4
16,0.10224247058823585,0.05978956923076956,0.13636642986425418,WristRight,4
17,0.10296870316742139,0.0693406217194574,0.1385726072398198,WristRight,4
18,0.10407396742081505,0.07718304072398233,0.14079478914027227,WristRight,4
19,0.10533040180995534,0.08491465882352987,0.14281575022624515,WristRight,4
20,0.10777069321267027,0.09306498009049825,0.14562794932126777,WristRight,4
21,0.11102304977375627,0.1006643203619915,0.14912515384615466,WristRight,4
22,0.1125653004524893,0.10735684886877886,0.1526650524886886,WristRight,4
23,0.1162145049773762,0.11791046968325856,0.15657430497737643,WristRight,4
24,0.12154442443438981,0.13032753484162968,0.1602131104072407,WristRight,4
25,0.128049270588236,0.1441101366515845,0.16351788868778372,WristRight,4
26,0.1352193022624442,0.15824327058823617,0.16691139095022717,WristRight,4
27,0.14233835475113202,0.1730457429864263,0.17124769411764798,WristRight,4
28,0.1488287493212678,0.18629545067873407,0.17539647963801003,WristRight,4
29,0.15581515746606422,0.19809193303167533,0.1777212805429874,WristRight,4
30,0.16155072760181086,0.20923392579185635,0.18273694027149423,WristRight,4
31,0.1656163674208154,0.2189671257918564,0.19270074570135853,WristRight,4
32,0.16780428506787426,0.2268888036199108,0.20529695113122284,WristRight,4
33,0.16840703710407334,0.23475342805429997,0.22033964253393784,WristRight,4
34,0.16794674117647151,0.24178916018099683,0.23937011764706012,WristRight,4
35,0.16555897737556655,0.24672946877828192,0.2619572723981915,WristRight,4
36,0.16121049502262533,0.24983702081448103,0.2881040923076939,WristRight,4
37,0.15950213212669773,0.25448113031674346,0.3161661791855221,WristRight,4
38,0.15825972941176558,0.2583606461538476,0.3454193918552055,WristRight,4
39,0.15756429321267057,0.2621906416289608,0.3748820452488709,WristRight,4
40,0.15751821447963887,0.2654257158371055,0.40380990769230996,WristRight,4
41,0.15791529321267056,0.2674715837104087,0.4309164190045274,WristRight,4
42,0.15872996380090587,0.26846088959276165,0.4536949656108623,WristRight,4
