Timestamp,X,Y,Z,Joint,ScenarioId
0,0.07266532154195003,0.0003414912698413054,0.0,WristRight,11
1,0.09540760396825396,0.017141420521542137,0.01352139200680273,WristRight,11
2,0.10474202199546484,0.029681733106576215,0.02704278401360546,WristRight,11
3,0.10538067959183677,0.04012420362811815,0.04056417602040819,WristRight,11
4,0.1025537755102041,0.05092787687074855,0.05408556802721092,WristRight,11
5,0.10190026031746036,0.06414106598639482,0.06760696003401365,WristRight,11
6,0.10134298730158736,0.08022950362811822,0.08112835204081638,WristRight,11
7,0.10027499365079372,0.09945158480725658,0.09464974404761911,WristRight,11
8,0.1000450512471656,0.12247809863945616,0.10817113605442184,WristRight,11
9,0.102490951473923,0.14825785918367387,0.11377349886621325,WristRight,11
10,0.1076809179138323,0.1757448092970526,0.11954181405895703,WristRight,11
11,0.11564191882086178,0.20389361020408212,0.12520856689342416,WristRight,11
12,0.12456573378684818,0.23145285056689396,0.13105617006802733,WristRight,11
13,0.1311586566893425,0.2577667630385493,0.13740641269841283,WristRight,11
14,0.13477011609977338,0.2826235852607716,0.14410135147392306,WristRight,11
15,0.13603778548752848,0.304029777551021,0.14991912698412713,WristRight,11
16,0.135883911564626,0.3222202650793657,0.15449072335600922,WristRight,11
17,0.13579254603174618,0.3374254383219961,0.15795221768707499,WristRight,11
18,0.13558315192743775,0.3503137385487535,0.16057607709750585,WristRight,11
19,0.13436095464852615,0.3619430646258511,0.16286090702947864,WristRight,11
20,0.13174643764172345,0.3734060623582773,0.16548465759637207,WristRight,11
21,0.1279574829931974,0.3851612006802728,0.1681706961451249,WristRight,11
22,0.12421485034013616,0.39724137301587376,0.1708949183673471,WristRight,11
23,0.12173860544217696,0.41031643424036357,0.1731966848072564,WristRight,11
24,0.12058560997732432,0.42509356349206434,0.174675986394558,WristRight,11
25,0.1203127256235828,0.4422977176870756,0.17532862131519292,WristRight,11
26,0.12001710657596376,0.46303641156462666,0.17574980045351493,WristRight,11
27,0.12068626530612249,0.48889359750566974,0.1756551587301589,WristRight,11
28,0.12420606802721096,0.5184457789115656,0.1747486371882088,WristRight,11
29,0.13003621088435385,0.5525617834467129,0.17258060770975073,WristRight,11
30,0.1361947346938777,0.5895688492063502,0.16952263038548768,WristRight,11
31,0.140699680272109,0.6273490351473934,0.1663320090702949,WristRight,11
32,0.14298618820861692,0.6641546292517018,0.16391818820861698,WristRight,11
33,0.14222016780045363,0.6982574433106588,0.16230716553288002,WristRight,11
34,0.1387808208616781,0.7274515634920647,0.1609673242630387,WristRight,11
35,0.13279471655328806,0.7525180306122461,0.15922681632653074,WristRight,11
36,0.12605236961451255,0.7726080873015885,0.15735821768707497,WristRight,11
37,0.12066793424036289,0.7897773027210895,0.1558045056689344,WristRight,11
38,0.1187527482993198,0.8046762664399104,0.15483573242630405,WristRight,11
39,0.11869164625850348,0.8165867675736973,0.15452321995464874,WristRight,11
40,0.11918735374149668,0.8251383526077111,0.15463407709750585,WristRight,11
41,0.11982772108843548,0.8310285657596385,0.15471813605442192,WristRight,11
42,0.1207975442176872,0.835669323129253,0.15484141043083915,WristRight,11
43,0.1217959659863947,0.8410799897959198,0.15501528344671214,WristRight,11
44,0.12329651473922916,0.8492758650793665,0.15518216780045363,WristRight,11
45,0.12440688208616793,0.8609615544217701,0.1552940256991687,WristRight,11
46,0.1212785850340137,0.8775455113378698,0.1556159659863947,WristRight,11
47,0.11033942025699174,0.8991178363567661,0.15541163869992458,WristRight,11
48,0.09105758881330313,0.9245494879062749,0.15434833257747563,WristRight,11
49,0.06812868594104307,0.9484295646258518,0.1522839160997734,WristRight,11
50,0.04641535827664397,0.9684724387755117,0.14952542781557082,WristRight,11
51,0.031624248299319695,0.9825854467120196,0.14700725925925942,WristRight,11
52,0.021188378684807208,0.9932317108843554,0.14546675812547255,WristRight,11
53,0.010424230536659085,1.0026579436885878,0.1443721972789117,WristRight,11
54,-0.003398938019652322,1.0132021606198052,0.14363510279667432,WristRight,11
55,-0.01972405328798186,1.0243890249433123,0.1430940445956161,WristRight,11
56,-0.03796771277399846,1.035852982237341,0.1426585646258504,WristRight,11
57,-0.05242647770219198,1.0455510291005305,0.1423554542705972,WristRight,11
58,-0.06253642857142859,1.0527629807256251,0.14255224943310668,WristRight,11
59,-0.06956489229024947,1.0567013809523824,0.1436641436130009,WristRight,11
60,-0.07651510884353747,1.0584904024943322,0.14606261375661392,WristRight,11
61,-0.08577364058956925,1.0594200884353757,0.149478799697657,WristRight,11
62,-0.09710616250944831,1.0605230064247937,0.15267393197278928,WristRight,11
63,-0.10677476946334098,1.0620834856387014,0.15491737490551793,WristRight,11
64,-0.11276093197278919,1.063556057823131,0.15684810052910073,WristRight,11
65,-0.11490380725623592,1.0644436156462602,0.1594641390778535,WristRight,11
66,-0.11523909977324272,1.0648540555555572,0.16282560317460332,WristRight,11
67,-0.11549889795918378,1.0650533004535165,0.16741862131519292,WristRight,11
68,-0.1150603356009071,1.0651889240362828,0.17241851700680288,WristRight,11
69,-0.10704169160997738,1.0643421077097523,0.17835325623582785,WristRight,11
70,-0.08652450113378686,1.0614820510204097,0.1849776893424038,WristRight,11
71,-0.05178528798185939,1.0559823662131533,0.19085672562358294,WristRight,11
72,-0.008661727891156415,1.0487597222222236,0.19455535147392308,WristRight,11
73,0.032042891156462625,1.0413507698412714,0.19659647392290272,WristRight,11
74,0.05885339002267577,1.0357100419501148,0.19637390249433131,WristRight,11
75,0.07310375056689347,1.0308286405895706,0.19446247845805012,WristRight,11
76,0.08324830612244907,1.024829316326532,0.19083311111111131,WristRight,11
77,0.10133155328798199,1.0157986315192757,0.18623015873015894,WristRight,11
78,0.13294550340136074,1.004399808390024,0.18148286848072578,WristRight,11
79,0.17365857369614532,0.9924621780045366,0.17749241950113392,WristRight,11
80,0.21045524263038573,0.9835264931972802,0.17352813832199562,WristRight,11
81,0.23538307256235852,0.9785137086167814,0.16840056462585049,WristRight,11
82,0.24850936507936536,0.9765065521541964,0.16179093424036295,WristRight,11
83,0.2563231043083903,0.9759835839002282,0.15561226303854891,WristRight,11
84,0.265911024943311,0.9759483503401376,0.15044955328798199,WristRight,11
85,0.2798883401360547,0.9756657131519288,0.14726429931972804,WristRight,11
86,0.2954691632653065,0.9753599489795934,0.1454079569160999,WristRight,11
87,0.3083340158730162,0.9757524047619063,0.14305804761904775,WristRight,11
88,0.3162506530612248,0.9772968174603189,0.13931173922902507,WristRight,11
89,0.3195486870748303,0.9803814546485277,0.13419213605442193,WristRight,11
90,0.32023845124716593,0.9842870283446727,0.1285555510204083,WristRight,11
91,0.32003344897959224,0.9876805430839017,0.12411789342403642,WristRight,11
92,0.3201519092970525,0.9896531802721101,0.12028747619047628,WristRight,11
93,0.32056578004535186,0.9902972755102055,0.1163058117913833,WristRight,11
94,0.32147877777777817,0.9904643004535162,0.11080287528344678,WristRight,11
95,0.32336558503401397,0.991071420634922,0.10348902040816331,WristRight,11
96,0.32682924489795956,0.9923179217687088,0.09549551700680277,WristRight,11
97,0.3316089410430843,0.9939888718820876,0.08712332199546491,WristRight,11
98,0.3364634512471659,0.9958039648526092,0.07802858956916103,WristRight,11
99,0.34006390022675775,0.9973399421768725,0.0696354943310658,WristRight,11
100,0.34189772789115686,0.9986179399092987,0.061937986394557866,WristRight,11
101,0.34225590476190515,0.9995683843537431,0.05632879365079369,WristRight,11
102,0.3419708299319732,1.000274159863947,0.05279096598639458,WristRight,11
103,0.34188666666666706,1.0007279693877567,0.04978419727891157,WristRight,11
104,0.34185040816326573,1.0009983526077113,0.04641484126984126,WristRight,11
105,0.3417945646258508,1.0013273049886637,0.042819124716553275,WristRight,11
106,0.3417830317460322,1.0018475022675752,0.03887661451247166,WristRight,11
107,0.34231346712018185,1.002465509070296,0.03522532653061226,WristRight,11
108,0.34387126303854915,1.0031616655328812,0.03167954421768708,WristRight,11
109,0.34659315646258543,1.0037860124716569,0.02797966893424035,WristRight,11
110,0.35013204761904804,1.0044129716553303,0.02453156462585032,WristRight,11
111,0.35333189795918407,1.0051258877551035,0.02099827891156461,WristRight,11
