Timestamp,X,Y,Z,Joint,ScenarioId
0,0.16523450623582742,0.008051036281179121,1.078382491213585e-05,WristRight,13
1,0.16676092006802717,0.008354244897959152,0.010138474786773523,WristRight,13
2,0.1680259353741497,0.008301544217687046,0.02026711025403044,WristRight,13
3,0.1693039331065761,0.007770648526077084,0.030396932517323897,WristRight,13
4,0.1709065646258505,0.00644949659863947,0.04052823837511465,WristRight,13
5,0.17300039682539703,0.004457977324263076,0.050661389286860356,WristRight,13
6,0.17603729024943332,0.0024878639455782814,0.06079682287343612,WristRight,13
7,0.18040193877551045,0.001230929705215468,0.0709350658084514,WristRight,13
8,0.18520728571428596,0.0007368571428571774,0.08107674810770668,WristRight,13
9,0.19021254648526098,0.0007309977324263263,0.08195298488889563,WristRight,13
10,0.1946874240362814,0.0009058639455782476,0.08309262827688117,WristRight,13
11,0.19806083900226773,0.0010744399092970703,0.0847796649171708,WristRight,13
12,0.20054236734693895,0.0013786462585034236,0.08710743105984149,WristRight,13
13,0.20281476190476208,0.0018128684807256464,0.08991189719586234,WristRight,13
14,0.20480029931972812,0.0026607505668934522,0.09220637677099862,WristRight,13
15,0.20712022675736982,0.004413015873015893,0.0937172026302344,WristRight,13
16,0.21011623129251725,0.007544594104308426,0.09472815962468425,WristRight,13
17,0.21398346712018163,0.01245342403628124,0.09585901044530798,WristRight,13
18,0.21900487301587324,0.018779770975056752,0.09755159222021773,WristRight,13
19,0.22551870975056715,0.025680852607709824,0.10050287740439957,WristRight,13
20,0.23286158049886646,0.03271878004535155,0.10506323820413332,WristRight,13
21,0.2406315215419504,0.039955818594104395,0.11102558908483305,WristRight,13
22,0.24853380498866243,0.047738374149659986,0.11787266690923877,WristRight,13
23,0.25621514739229057,0.056900537414966146,0.12472523206678059,WristRight,13
24,0.2631179954648529,0.06764675283446728,0.13080652502790374,WristRight,13
25,0.2684017097505672,0.07939241723356026,0.1360006666066999,WristRight,13
26,0.2713776077097509,0.0914137913832201,0.1410612482079467,WristRight,13
27,0.27263225170068056,0.1030320317460319,0.14686310686942272,WristRight,13
28,0.27294704761904787,0.11340973469387769,0.1538618788529693,WristRight,13
29,0.2730038662131522,0.12208266213151944,0.1621587104880926,WristRight,13
30,0.27333025850340165,0.12815564625850356,0.17208221288699108,WristRight,13
31,0.2732167324263042,0.13168874829931992,0.18293800387197745,WristRight,13
32,0.27008626984127015,0.13379260544217708,0.19397729889846207,WristRight,13
33,0.2621087551020411,0.13615305215419524,0.20462325594156422,WristRight,13
34,0.24832174603174628,0.1399340793650796,0.21395417670078834,WristRight,13
35,0.23357452834467146,0.1450877845804991,0.22207354230515197,WristRight,13
36,0.22238659183673493,0.14999456916099796,0.23012071027627742,WristRight,13
37,0.21573959863945602,0.15419139002267598,0.2385082359949498,WristRight,13
38,0.21588577777777804,0.15758064399092997,0.2472206393966337,WristRight,13
39,0.2229541541950116,0.1606694489795921,0.2562078573367917,WristRight,13
40,0.23528120634920663,0.16547843310657628,0.26464141124977797,WristRight,13
41,0.2510729773242633,0.17276009523809555,0.27188595227845236,WristRight,13
42,0.26576473469387785,0.1840030226757373,0.2780588933895032,WristRight,13
43,0.27380253741496624,0.20023642176870782,0.2832729599680088,WristRight,13
44,0.27702249659863976,0.22037340362811825,0.2877684443738851,WristRight,13
45,0.2781795034013609,0.24237869614512506,0.292247629375617,WristRight,13
46,0.2800403900226761,0.26600001360544256,0.29680388519188977,WristRight,13
47,0.282197181405896,0.28815114739229064,0.3011298371601848,WristRight,13
48,0.28411840136054456,0.3091881156462589,0.30566588643845605,WristRight,13
49,0.2850541768707487,0.3295580612244903,0.31073759614876967,WristRight,13
