Timestamp,X,Y,Z,Joint,ScenarioId
0,0.14890376587301568,0.007592416099773217,0.005083486394557731,WristRight,7
1,0.1492978951247164,0.00775484580498863,0.005260655328798089,WristRight,7
2,0.14983843594104299,0.007715570294784553,0.0052019886621314255,WristRight,7
3,0.15044498752834476,0.0074309387755101914,0.004923780045351392,WristRight,7
4,0.15102237301587318,0.0067865941043083735,0.0044224353741495965,WristRight,7
5,0.1515083492063494,0.005842668934240356,0.0037678117913831806,WristRight,7
6,0.15185087074829945,0.004804308390022678,0.003024829931972752,WristRight,7
7,0.15202700680272124,0.003992965986394553,0.002253675736961414,WristRight,7
8,0.15217748299319747,0.003479267573696144,0.0015612902494330715,WristRight,7
9,0.15225673696145142,0.003224018140589568,0.0010252675736961137,WristRight,7
10,0.15228229705215438,0.0031209954648525884,0.000437231292516985,WristRight,7
11,0.1533346258503403,0.0030951088435373984,0.0,WristRight,7
12,0.15703435600907045,0.0031066099773242374,0.0014673628117913794,WristRight,7
13,0.16260157369614528,0.0031138321995464466,0.005053233560090712,WristRight,7
14,0.17039775510204094,0.003031562358276613,0.011646185941043084,WristRight,7
15,0.1797169092970523,0.0026806712018140263,0.020611235827664404,WristRight,7
16,0.18932678684807275,0.002213088435374113,0.029999156462585046,WristRight,7
17,0.19927750566893446,0.0017735510204081278,0.038639455782312954,WristRight,7
18,0.2093070204081635,0.0013765351473922457,0.046937412698412714,WristRight,7
19,0.21640655328798208,0.001096290249433053,0.05295402721088436,WristRight,7
20,0.22093927210884376,0.0015680498866212803,0.057197061224489795,WristRight,7
21,0.2236049931972791,0.00338567800453513,0.05993959637188208,WristRight,7
22,0.2253951791383222,0.007482571428571437,0.06176989569160999,WristRight,7
23,0.22752932879818616,0.014146256235827687,0.0639318911564626,WristRight,7
24,0.2301167301587304,0.023241712018140615,0.06724116553287983,WristRight,7
25,0.23208045124716578,0.03443556916099777,0.07091911791383222,WristRight,7
26,0.2334147142857145,0.0477412630385488,0.07455424716553294,WristRight,7
27,0.234616009070295,0.06232444217687083,0.07771542630385492,WristRight,7
