Timestamp,timestamp,x,y,z,joint,mode,targetId
0,2025-12-19T08:41:58.1847778Z,0.15778548571428552,0.001397428571428576,0.05359652857142853,HandRight,Free,3
1,2025-12-19T08:41:58.2478493Z,0.15929905714285705,0.002421428571428576,0.05346288571428569,HandRight,Free,3
2,2025-12-19T08:41:58.3037947Z,0.16073091428571437,0.002821428571428576,0.05400717142857146,HandRight,Free,3
3,2025-12-19T08:41:58.3662411Z,0.16145454285714295,0.00291491428571429,0.05457905714285718,HandRight,Free,3
4,2025-12-19T08:41:58.4297444Z,0.16061854285714294,0.0031700857142857187,0.05497000000000003,HandRight,Free,3
5,2025-12-19T08:41:58.4924202Z,0.15963971428571438,0.0035013714285714336,0.055064371428571464,HandRight,Free,3
6,2025-12-19T08:41:58.5546802Z,0.15889254285714294,0.003984771428571434,0.054303742857142887,HandRight,Free,3
7,2025-12-19T08:41:58.6168810Z,0.1583711142857144,0.004301942857142862,0.05319477142857146,HandRight,Free,3
8,2025-12-19T08:41:58.6796175Z,0.15810777142857152,0.004173371428571434,0.05228560000000003,HandRight,Free,3
9,2025-12-19T08:41:58.7409654Z,0.15526842857142867,0.003472828571428576,0.05194520000000003,HandRight,Free,3
10,2025-12-19T08:41:58.8044134Z,0.1518980571428572,0.0028572000000000046,0.05091614285714289,HandRight,Free,3
11,2025-12-19T08:41:58.8675296Z,0.14948074285714294,0.0027122857142857187,0.050057800000000034,HandRight,Free,3
12,2025-12-19T08:41:58.9299799Z,0.14986988571428578,0.002851742857142862,0.049769371428571456,HandRight,Free,3
13,2025-12-19T08:41:58.9915044Z,0.14939777142857152,0.0027374000000000044,0.049736542857142886,HandRight,Free,3
14,2025-12-19T08:41:59.0534213Z,0.14900894285714295,0.0030897714285714334,0.050129114285714316,HandRight,Free,3
15,2025-12-19T08:41:59.1158546Z,0.14884471428571439,0.0037998285714285767,0.051020400000000035,HandRight,Free,3
16,2025-12-19T08:41:59.1814998Z,0.14889400000000008,0.004141600000000006,0.05292660000000003,HandRight,Free,3
17,2025-12-19T08:41:59.2429324Z,0.14889400000000008,0.00539328571428572,0.05658045714285718,HandRight,Free,3
18,2025-12-19T08:41:59.3061776Z,0.14889400000000008,0.007568942857142864,0.061273285714285745,HandRight,Free,3
19,2025-12-19T08:41:59.3679500Z,0.14904134285714293,0.009886314285714294,0.06456485714285717,HandRight,Free,3
20,2025-12-19T08:41:59.4306142Z,0.14852182857142865,0.01088120000000001,0.06588268571428575,HandRight,Free,3
21,2025-12-19T08:41:59.4938449Z,0.14742545714285724,0.01200200000000001,0.06648334285714289,HandRight,Free,3
22,2025-12-19T08:41:59.5561492Z,0.14636822857142867,0.013920914285714295,0.06771580000000005,HandRight,Free,3
23,2025-12-19T08:41:59.6175104Z,0.14619131428571439,0.017128285714285728,0.06953480000000004,HandRight,Free,3
24,2025-12-19T08:41:59.6797060Z,0.14596048571428583,0.01995205714285716,0.07177565714285719,HandRight,Free,3
25,2025-12-19T08:41:59.7415715Z,0.14559734285714296,0.021164342857142873,0.07438257142857146,HandRight,Free,3
26,2025-12-19T08:41:59.8036077Z,0.14557831428571438,0.021282114285714297,0.07756068571428576,HandRight,Free,3
27,2025-12-19T08:41:59.8662479Z,0.1460073714285715,0.021625971428571443,0.08088357142857147,HandRight,Free,3
28,2025-12-19T08:41:59.9315664Z,0.1463126857142858,0.02392200000000002,0.08436722857142862,HandRight,Free,3
29,2025-12-19T08:41:59.9913035Z,0.14686951428571438,0.028487428571428594,0.08785871428571435,HandRight,Free,3
30,2025-12-19T08:42:00.0539925Z,0.14853305714285722,0.034003171428571455,0.09157640000000004,HandRight,Free,3
31,2025-12-19T08:42:00.1159821Z,0.15034585714285725,0.03723937142857145,0.0942544571428572,HandRight,Free,3
32,2025-12-19T08:42:00.1815765Z,0.15077628571428578,0.03803128571428574,0.09562965714285719,HandRight,Free,3
33,2025-12-19T08:42:00.2425872Z,0.15239771428571436,0.040622200000000025,0.09838091428571435,HandRight,Free,3
34,2025-12-19T08:42:00.3046415Z,0.1555562857142858,0.04672740000000003,0.10293802857142863,HandRight,Free,3
35,2025-12-19T08:42:00.3659033Z,0.1580165714285715,0.05355991428571432,0.10778314285714291,HandRight,Free,3
36,2025-12-19T08:42:00.4316153Z,0.1700951142857144,0.06925451428571434,0.11768962857142864,HandRight,Free,3
37,2025-12-19T08:42:00.4940629Z,0.18471294285714296,0.08682028571428577,0.12963528571428581,HandRight,Free,3
38,2025-12-19T08:42:00.5543774Z,0.19367334285714297,0.09932588571428576,0.13884362857142868,HandRight,Free,3
39,2025-12-19T08:42:00.6170808Z,0.19137688571428582,0.10179322857142864,0.1424562000000001,HandRight,Free,3
40,2025-12-19T08:42:00.6793207Z,0.19150400000000012,0.10631265714285722,0.14762885714285723,HandRight,Free,3
41,2025-12-19T08:42:00.7446493Z,0.19111794285714298,0.1094999714285715,0.1510944857142858,HandRight,Free,3
42,2025-12-19T08:42:00.8094783Z,0.1889716857142858,0.1103991714285715,0.15394151428571434,HandRight,Free,3
43,2025-12-19T08:42:00.8670246Z,0.1867415714285715,0.11191025714285723,0.1583409142857144,HandRight,Free,3
44,2025-12-19T08:42:00.9296732Z,0.18578351428571438,0.11619648571428579,0.1662584857142858,HandRight,Free,3
45,2025-12-19T08:42:00.9919639Z,0.18323717142857154,0.12046382857142865,0.17228674285714296,HandRight,Free,3
46,2025-12-19T08:42:01.0540112Z,0.17961834285714295,0.12308602857142865,0.1766726857142858,HandRight,Free,3
47,2025-12-19T08:42:01.1170780Z,0.17654345714285724,0.12845042857142863,0.18427840000000012,HandRight,Free,3
48,2025-12-19T08:42:01.1794391Z,0.17481574285714296,0.1351417714285715,0.19389222857142868,HandRight,Free,3
