Timestamp,X,Y,Z,Joint,ScenarioId
0,0.11668116666666656,0.0380378571428572,0.16584107142857143,WristRight,18
1,0.11750064285714279,0.03778292857142862,0.1682599523809524,WristRight,18
2,0.11776978571428566,0.03773957142857147,0.16689130952380957,WristRight,18
3,0.11765109523809532,0.037921619047619065,0.1622988095238096,WristRight,18
4,0.11725490476190482,0.03841566666666669,0.1550128095238096,WristRight,18
5,0.11698642857142864,0.0390804285714286,0.14457447619047628,WristRight,18
6,0.11675700000000007,0.039675523809523834,0.13479742857142865,WristRight,18
7,0.11394823809523819,0.038743380952380974,0.12949528571428578,WristRight,18
8,0.11857661904761914,0.040779047619047645,0.12565066666666674,WristRight,18
9,0.12750619047619058,0.04490704761904765,0.12508647619047628,WristRight,18
10,0.1378230476190477,0.04931938095238098,0.1264453333333334,WristRight,18
11,0.14666904761904773,0.053982571428571456,0.12895590476190483,WristRight,18
12,0.15138342857142867,0.05694566666666669,0.13226295238095245,WristRight,18
13,0.14825242857142867,0.05746485714285718,0.1419627142857144,WristRight,18
14,0.14689042857142867,0.0598986666666667,0.15322933333333344,WristRight,18
15,0.14509866666666676,0.06227709523809527,0.16474209523809533,WristRight,18
16,0.14318009523809533,0.06283361904761908,0.17403119047619056,WristRight,18
17,0.1409014761904763,0.06691733333333337,0.18224480952380961,WristRight,18
18,0.1437432857142858,0.07248604761904766,0.18683209523809538,WristRight,18
19,0.1490410000000001,0.07851233333333338,0.1927612380952382,WristRight,18
20,0.15477509523809532,0.08350676190476196,0.19475414285714296,WristRight,18
21,0.15996719047619057,0.08524352380952385,0.20156119047619062,WristRight,18
22,0.16130742857142866,0.08631833333333339,0.21006604761904776,WristRight,18
23,0.15826309523809534,0.0920310952380953,0.22035571428571443,WristRight,18
24,0.15633533333333344,0.09990738095238103,0.22915400000000014,WristRight,18
25,0.154545761904762,0.11462138095238103,0.23467042857142872,WristRight,18
26,0.15370290476190487,0.13007947619047627,0.2343763809523811,WristRight,18
27,0.15382090476190485,0.1417005238095239,0.2350350952380954,WristRight,18
28,0.15438442857142867,0.15098709523809534,0.2424728571428573,WristRight,18
29,0.1567677142857144,0.1578927142857144,0.2529340952380954,WristRight,18
30,0.160006761904762,0.16153209523809536,0.26367600000000013,WristRight,18
31,0.16306642857142867,0.17050061904761915,0.2725204285714287,WristRight,18
32,0.16626464761904772,0.18238229523809535,0.2767666380952382,WristRight,18
33,0.16599037142857154,0.19652440952380967,0.2775707714285716,WristRight,18
34,0.1618932000000001,0.21237506666666683,0.28320470476190496,WristRight,18
35,0.15466266666666675,0.2292860952380954,0.2910958095238097,WristRight,18
36,0.1440140000000001,0.24487714285714302,0.3001157142857145,WristRight,18
37,0.13161838095238101,0.26032490476190495,0.3092843809523812,WristRight,18
38,0.12219147619047627,0.2757070476190478,0.318539523809524,WristRight,18
39,0.11596746666666674,0.2908386000000002,0.3275505333333335,WristRight,18
40,0.11314348571428579,0.3053246380952383,0.33639732380952403,WristRight,18
41,0.11304720952380959,0.3199838476190478,0.3456930285714288,WristRight,18
42,0.11369657142857148,0.3328633333333335,0.3547712380952383,WristRight,18
43,0.11368266666666674,0.34440404761904786,0.3635198571428574,WristRight,18
44,0.11438942857142864,0.3532356190476193,0.37233704761904785,WristRight,18
45,0.11652033333333342,0.35876895238095263,0.3787631428571431,WristRight,18
46,0.11925723809523817,0.3610274761904764,0.386172523809524,WristRight,18
47,0.12190290476190482,0.3623956190476193,0.39647490476190494,WristRight,18
48,0.1238218095238096,0.3627569523809526,0.41268952380952406,WristRight,18
49,0.12397342857142865,0.36382828571428594,0.42905771428571454,WristRight,18
50,0.1249188095238096,0.3629240476190478,0.44872685714285737,WristRight,18
51,0.1257206190476191,0.35984580952380973,0.4748379523809526,WristRight,18
52,0.12983890476190485,0.35545990476190503,0.5005983333333336,WristRight,18
53,0.13540347619047627,0.35108438095238115,0.5255689047619051,WristRight,18
54,0.1418422857142858,0.3483848571428574,0.5561344761904765,WristRight,18
55,0.1470172857142858,0.347778523809524,0.5838341428571432,WristRight,18
56,0.1509135238095239,0.3472776190476193,0.6156046190476194,WristRight,18
57,0.15108066666666675,0.34718942857142876,0.649384190476191,WristRight,18
58,0.15218885714285724,0.3474354285714288,0.6743841428571433,WristRight,18
59,0.1526360476190477,0.3468774761904764,0.6931241428571433,WristRight,18
60,0.15328866666666674,0.34565109523809545,0.7107034761904766,WristRight,18
61,0.15517733333333342,0.34320176190476215,0.7262905714285718,WristRight,18
62,0.15602033333333343,0.3393514285714288,0.7445592380952386,WristRight,18
63,0.15023290476190482,0.33485576190476213,0.764160190476191,WristRight,18
64,0.13688933333333342,0.33120914285714304,0.7848989523809529,WristRight,18
65,0.11961352380952386,0.3278627142857145,0.8044179523809529,WristRight,18
66,0.1034770190476191,0.32488774285714306,0.8185220190476196,WristRight,18
67,0.09145224761904766,0.3218015619047621,0.82973700952381,WristRight,18
68,0.08237260952380956,0.3181966761904764,0.8417498952380957,WristRight,18
69,0.07138847619047622,0.3143552857142859,0.8592001428571434,WristRight,18
70,0.05625647619047621,0.3112446666666669,0.8821680476190481,WristRight,18
71,0.040372428571428594,0.30865047619047636,0.9074099047619054,WristRight,18
72,0.028190380952380963,0.304725523809524,0.9326148571428577,WristRight,18
73,0.020222009523809537,0.3002457523809525,0.9539848190476197,WristRight,18
74,0.01603341904761906,0.29543439047619063,0.9719893238095244,WristRight,18
75,0.01387536190476191,0.29135154285714304,0.9889804095238101,WristRight,18
76,0.011700047619047624,0.28627819047619063,1.0069800476190482,WristRight,18
77,0.008961904761904766,0.2807430952380954,1.0253159047619054,WristRight,18
78,0.006394571428571432,0.273721142857143,1.0445256666666674,WristRight,18
79,0.00459214285714286,0.26742876190476206,1.057972952380953,WristRight,18
80,0.003397285714285716,0.26340395238095254,1.065588190476191,WristRight,18
81,0.0026340952380952396,0.26218304761904776,1.0692217619047626,WristRight,18
82,0.0019608095238095244,0.2602250476190478,1.0730430476190482,WristRight,18
83,0.002707361904761905,0.2579804857142859,1.0758036857142863,WristRight,18
84,0.0009713238095238057,0.25516683809523827,1.0796328666666675,WristRight,18
85,-0.00508041904761906,0.2523422095238097,1.0847975619047625,WristRight,18
86,-0.015972285714285737,0.2502588571428573,1.090625476190477,WristRight,18
