Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
1,0.08554325714285711,-0.03009885714285714,-0.008520214285714279,merged,1,Free,1
2,0.08556897142857142,-0.029869571428571433,-0.008476142857142856,merged,1,Free,1
3,0.0857315428571429,-0.030056142857142875,-0.008427285714285719,merged,1,Free,1
4,0.08582325714285718,-0.029799428571428588,-0.008382028571428578,merged,1,Free,1
5,0.08588340000000005,-0.029053885714285733,-0.008541171428571434,merged,1,Free,1
6,0.08603511428571434,-0.028699914285714306,-0.008712371428571435,merged,1,Free,1
7,0.08620894285714291,-0.029582514285714304,-0.008695000000000005,merged,1,Free,1
8,0.08629914285714291,-0.030168800000000016,-0.008367371428571434,merged,1,Free,1
9,0.08625800000000006,-0.029763828571428588,-0.008121771428571435,merged,1,Free,1
10,0.08639477142857148,-0.029253342857142872,-0.007913200000000006,merged,1,Free,1
11,0.08704208571428577,-0.029384200000000017,-0.008128600000000003,merged,1,Free,1
12,0.08768914285714291,-0.029757085714285734,-0.008374571428571433,merged,1,Free,1
13,0.0872512571428572,-0.03061682857142859,-0.00821071428571429,merged,1,Free,1
14,0.08619908571428575,-0.030944400000000018,-0.008018828571428577,merged,1,Free,1
15,0.08505517142857147,-0.031167285714285734,-0.008462142857142863,merged,1,Free,1
16,0.08531968571428576,-0.03200380000000002,-0.008427000000000004,merged,1,Free,1
17,0.08668562857142863,-0.03362400000000002,-0.007262485714285718,merged,1,Free,1
18,0.09057808571428577,-0.03561025714285716,-0.0035722571428571446,merged,1,Free,1
19,0.09182088571428576,-0.036944028571428596,-0.0018810857142857137,merged,1,Free,1
20,0.09492202857142862,-0.040695771428571455,0.007470800000000007,merged,1,Free,1
21,0.09777857142857149,-0.043863371428571454,0.02090454285714287,merged,1,Free,1
22,0.09964982857142865,-0.04489554285714288,0.03261265714285716,merged,1,Free,1
23,0.10953734285714292,-0.04148011428571431,0.04331485714285717,merged,1,Free,1
24,0.09411440000000006,-0.029869428571428585,0.043919200000000026,merged,1,Free,1
25,0.09164268571428576,-0.01523780000000001,0.05623408571428575,Cam1,1,Free,1
26,0.09140425714285719,0.0039910285714285735,0.07402428571428576,Cam1,1,Free,1
27,0.10663022857142863,0.023010828571428586,0.10259128571428577,Cam1,1,Free,1
28,0.09297380000000005,0.04842005714285717,0.12042288571428578,Cam1,1,Free,1
29,0.053368714285714325,0.07327951428571433,0.13141954285714294,Cam1,1,Free,1
30,0.02365931428571431,0.09579628571428578,0.14368817142857154,Cam1,1,Free,1
31,0.021001342857142877,0.1141608571428572,0.1627538000000001,merged,1,Free,1
32,0.03541651428571431,0.13259294285714293,0.18861834285714296,merged,1,Free,1
33,0.04420748571428574,0.14956805714285723,0.21026708571428582,merged,1,Free,1
34,0.04660600000000002,0.1648481142857144,0.22695117142857155,merged,1,Free,1
35,0.03845762857142859,0.17735122857142868,0.2393455142857144,merged,1,Free,1
36,0.030735342857142883,0.1874319142857144,0.2503183142857144,merged,1,Free,1
37,0.05650688571428575,0.19231925714285725,0.26980631428571444,merged,1,Free,1
38,0.0661991428571429,0.1957794285714287,0.28143582857142874,merged,1,Free,1
39,0.05257640000000003,0.1967564285714287,0.28588120000000017,merged,1,Free,1
